,id,titulo,lingua_original,lancamento,popularidade,media_dos_votos,qtds_votos,tipo_de_midia,adulto
224,849869,길복순,Koreano,2023-02-17,33.985,6.9,39,Filme,False
225,603692,John Wick: Chapter 4,Ingles,2023-03-22,2569.508,8.161,635,Filme,False
226,493529,Dungeons & Dragons: Honor Among Thieves,Ingles,2023-03-23,702.523,7.598,128,Filme,False
227,932430,Prom Pact,Ingles,2023-03-30,85.403,8.0,10,Filme,False
228,95558,,Ingles,,64.625,8.0,8,Tv,False
229,816904,Momias,Espanhol,2023-01-05,1224.45,7.008,64,Filme,False
230,514999,Murder Mystery,Ingles,2019-05-25,197.421,6.252,3642,Filme,False
231,1049638,Rye Lane,Ingles,2023-03-17,30.374,7.778,18,Filme,False
232,739405,Operation Fortune: Ruse de Guerre,Ingles,2023-01-04,184.229,6.721,297,Filme,False
233,158876,,Chines,,58.304,8.4,9,Tv,False
234,921355,Assassin,Ingles,2023-03-31,80.805,4.8,11,Filme,False
235,117465,,Japones,,62.392,10.0,4,Tv,False
236,933419,Champions,Ingles,2023-03-09,104.315,6.512,43,Filme,False
237,208891,,Japones,,59.825,8.667,3,Tv,False
238,878375,On a Wing and a Prayer,Ingles,2023-04-06,53.714,8.0,4,Filme,False
239,82856,,Ingles,,1108.646,8.488,8697,Tv,False
240,638974,Murder Mystery 2,Ingles,2023-03-26,235.901,6.8,187,Filme,False
241,677179,Creed III,Ingles,2023-03-01,1537.879,7.2,561,Filme,False
242,726759,Tetris,Ingles,2023-03-15,66.661,7.7,100,Filme,False
243,76600,Avatar: The Way of Water,Ingles,2022-12-14,10224.28,7.742,6335,Filme,False
244,849869,길복순,Koreano,2023-02-17,33.985,6.9,39,Filme,False
245,603692,John Wick: Chapter 4,Ingles,2023-03-22,2569.508,8.161,635,Filme,False
246,493529,Dungeons & Dragons: Honor Among Thieves,Ingles,2023-03-23,702.523,7.598,128,Filme,False
247,932430,Prom Pact,Ingles,2023-03-30,85.403,8.0,10,Filme,False
248,95558,,Ingles,,64.625,8.0,8,Tv,False
249,816904,Momias,Espanhol,2023-01-05,1224.45,7.008,64,Filme,False
250,514999,Murder Mystery,Ingles,2019-05-25,197.421,6.252,3642,Filme,False
251,1049638,Rye Lane,Ingles,2023-03-17,30.374,7.778,18,Filme,False
252,739405,Operation Fortune: Ruse de Guerre,Ingles,2023-01-04,184.229,6.721,297,Filme,False
253,158876,,Chines,,58.304,8.4,9,Tv,False
254,921355,Assassin,Ingles,2023-03-31,80.805,4.8,11,Filme,False
255,117465,,Japones,,62.392,10.0,4,Tv,False
256,933419,Champions,Ingles,2023-03-09,104.315,6.512,43,Filme,False
257,208891,,Japones,,59.825,8.667,3,Tv,False
258,878375,On a Wing and a Prayer,Ingles,2023-04-06,53.714,8.0,4,Filme,False
259,82856,,Ingles,,1108.646,8.488,8697,Tv,False
260,638974,Murder Mystery 2,Ingles,2023-03-26,235.901,6.8,187,Filme,False
261,677179,Creed III,Ingles,2023-03-01,1537.879,7.2,561,Filme,False
262,726759,Tetris,Ingles,2023-03-15,66.661,7.7,100,Filme,False
263,76600,Avatar: The Way of Water,Ingles,2022-12-14,10224.28,7.742,6335,Filme,False
264,849869,길복순,Koreano,2023-02-17,33.985,6.9,39,Filme,False
265,603692,John Wick: Chapter 4,Ingles,2023-03-22,2569.508,8.161,635,Filme,False
266,493529,Dungeons & Dragons: Honor Among Thieves,Ingles,2023-03-23,702.523,7.598,128,Filme,False
267,932430,Prom Pact,Ingles,2023-03-30,85.403,8.0,10,Filme,False
268,95558,,Ingles,,64.625,8.0,8,Tv,False
269,816904,Momias,Espanhol,2023-01-05,1224.45,7.008,64,Filme,False
270,514999,Murder Mystery,Ingles,2019-05-25,197.421,6.252,3642,Filme,False
